Team,Name,Torneo,Goals,Succ. dribbles,Tackles,Assists,Accurate passes %,Big chances missed,Total shots,Goal conversion %,Interceptions,Clearances,Errors leading to goal,Big chances created,Accurate passes,Key passes,Saves,Clean sheet,Penalties saved,Saves from inside box,Runs out
Boyacá Chicó FC,Abdid Muñoz,Clausura 2024B,0.0,3.0,6.0,0.0,71.08,0.0,1.0,0.0,6.0,4.0,0.0,0.0,59.0,0.0,,,,,
Atlético Bucaramanga,Adalberto Peñaranda,Apertura 2025A,0.0,2.0,0.0,0.0,74.07,0.0,3.0,0.0,0.0,1.0,0.0,0.0,40.0,3.0,,,,,
Atlético Bucaramanga,Adalberto Peñaranda,Clausura 2024B,0.0,10.0,3.0,1.0,81.13,0.0,6.0,0.0,0.0,2.0,0.0,1.0,43.0,3.0,,,,,
Boyacá Chicó FC,Adrian Chara,Clausura 2024B,0.0,7.0,1.0,0.0,86.36,0.0,4.0,0.0,0.0,0.0,0.0,0.0,57.0,5.0,,,,,
Boyacá Chicó FC,Adrian Chara,Apertura 2024A,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,
Deportivo Cali,Adrian Palacios,Apertura 2024A,0.0,3.0,4.0,0.0,76.0,0.0,1.0,0.0,6.0,18.0,0.0,0.0,171.0,1.0,,,,,
Atlético Bucaramanga,Adriel Galeano,Clausura 2023B,0.0,3.0,2.0,0.0,83.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,0.0,,,,,
Atlético Bucaramanga,Adriel Galeano,Apertura 2023A,0.0,3.0,5.0,0.0,86.67,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,2.0,,,,,
Deportivo Pereira,Adrián Balboa,Clausura 2023B,4.0,4.0,6.0,1.0,57.39,3.0,25.0,16.0,4.0,2.0,0.0,0.0,66.0,9.0,,,,,
Deportivo Pereira,Adrián Estacio,Apertura 2025A,0.0,6.0,2.0,0.0,71.08,1.0,12.0,0.0,3.0,1.0,0.0,0.0,59.0,10.0,,,,,
Rionegro Águilas Doradas,Adrián Estacio,Clausura 2024B,0.0,1.0,8.0,0.0,66.37,1.0,20.0,0.0,2.0,3.0,0.0,0.0,75.0,3.0,,,,,
Rionegro Águilas Doradas,Adrián Estacio,Apertura 2024A,0.0,3.0,3.0,1.0,82.44,1.0,14.0,0.0,1.0,0.0,0.0,2.0,108.0,4.0,,,,,
Rionegro Águilas Doradas,Adrián Estacio,Clausura 2023B,0.0,5.0,9.0,2.0,71.84,1.0,24.0,0.0,1.0,1.0,0.0,0.0,125.0,8.0,,,,,
Deportivo Pasto,Adrián Estacio,Apertura 2023A,3.0,22.0,36.0,2.0,72.61,0.0,75.0,4.0,13.0,3.0,0.0,2.0,464.0,40.0,,,,,
Deportes Tolima,Adrián Parra,Apertura 2025A,0.0,0.0,3.0,1.0,82.22,1.0,4.0,0.0,1.0,0.0,0.0,1.0,37.0,5.0,,,,,
Fortaleza CEIF,Adrián Parra,Clausura 2024B,2.0,5.0,14.0,1.0,79.94,1.0,13.0,15.38,3.0,5.0,0.0,1.0,287.0,17.0,,,,,
Fortaleza CEIF,Adrián Parra,Apertura 2024A,5.0,21.0,33.0,1.0,76.35,1.0,37.0,13.51,6.0,8.0,0.0,3.0,410.0,31.0,,,,,
Deportivo Cali,Adrián Parra,Clausura 2023B,3.0,2.0,26.0,1.0,81.27,2.0,17.0,17.65,3.0,6.0,0.0,0.0,230.0,11.0,,,,,
Deportivo Cali,Adrián Parra,Apertura 2023A,1.0,1.0,3.0,0.0,71.23,1.0,3.0,33.33,0.0,0.0,0.0,0.0,52.0,4.0,,,,,
América de Cali,Adrián Ramos,Clausura 2024B,6.0,0.0,4.0,1.0,64.4,2.0,29.0,20.69,3.0,9.0,0.0,0.0,123.0,12.0,,,,,
América de Cali,Adrián Ramos,Apertura 2024A,1.0,5.0,5.0,0.0,66.09,2.0,28.0,3.57,2.0,7.0,0.0,1.0,76.0,10.0,,,,,
