Fecha_Numero,Jugador,Oponente,Prediccion_Decimal,Prediccion_Entero,Historico_Tiros_Totales,Historico_Tiros_Puerta,Promedio_Goles_vs_Oponente,Confianza_Modelo
1,Carlos_Bacca,Deportivo Cali,0.39,0,2.33,1.17,0.83,0.951
1,Dayro_Moreno,Atlético Nacional,0.47,0,2.56,1.11,0.56,0.948
1,Hugo_Rodallega,Pereira,0.33,0,4.0,1.0,0.6,0.91
1,Leonardo_Castro,Unión Magdalena,0.12,0,1.67,0.33,0.33,0.9520000000000001
1,Marco_Perez,Deportivo Cali,0.37,0,2.57,1.0,0.43,0.975
2,Carlos_Bacca,Águilas Doradas,0.35,0,2.0,1.0,0.2,0.951
2,Dayro_Moreno,Fortaleza CEIF,0.26,0,3.33,0.67,0.33,0.948
2,Hugo_Rodallega,Deportes Tolima,0.42,0,5.14,1.57,0.43,0.91
2,Leonardo_Castro,Deportivo Pasto,0.49,0,1.88,1.12,0.62,0.9520000000000001
2,Marco_Perez,Águilas Doradas,0.02,0,0.4,0.0,0.0,0.975
3,Carlos_Bacca,Unión Magdalena,0.5,0,2.25,0.88,0.25,0.951
3,Dayro_Moreno,Bucaramanga,0.43,0,3.0,1.2,0.6,0.948
3,Hugo_Rodallega,Águilas Doradas,0.21,0,4.2,1.6,0.4,0.91
3,Leonardo_Castro,La Equidad,0.81,1,2.83,1.83,1.0,0.9520000000000001
3,Marco_Perez,Unión Magdalena,1.04,1,3.67,2.67,1.67,0.975
4,Carlos_Bacca,Once Caldas,0.59,1,2.12,1.0,0.12,0.951
4,Dayro_Moreno,Junior,0.37,0,3.45,1.09,0.36,0.948
4,Hugo_Rodallega,Atlético Nacional,0.33,0,1.83,0.5,0.17,0.91
4,Leonardo_Castro,Llaneros,0.0,0,1.0,0.0,0.0,0.9520000000000001
4,Marco_Perez,Once Caldas,0.31,0,2.17,0.67,0.17,0.975
5,Carlos_Bacca,Boyacá Chicó,0.45,0,1.0,0.75,0.25,0.951
5,Dayro_Moreno,Pereira,0.52,1,3.0,1.4,0.8,0.948
5,Hugo_Rodallega,CD América,0.19,0,3.33,1.67,0.0,0.91
5,Leonardo_Castro,Medellin,0.53,1,2.0,1.0,0.8,0.9520000000000001
5,Marco_Perez,Boyacá Chicó,0.14,0,1.5,0.5,0.5,0.975
6,Carlos_Bacca,Envigado,0.36,0,2.17,1.0,0.67,0.951
6,Dayro_Moreno,Águilas Doradas,0.69,1,3.6,2.0,0.8,0.948
6,Hugo_Rodallega,Bucaramanga,0.47,0,5.0,1.14,0.14,0.91
6,Leonardo_Castro,Deportivo Cali,0.44,0,2.67,1.0,0.33,0.9520000000000001
6,Marco_Perez,Envigado,0.45,0,3.44,1.0,0.44,0.975
7,Carlos_Bacca,Bucaramanga,0.47,0,1.57,0.86,0.29,0.951
7,Dayro_Moreno,Alianza FC,0.72,1,4.0,2.0,0.57,0.948
7,Hugo_Rodallega,Envigado,0.36,0,4.33,2.67,2.0,0.91
7,Leonardo_Castro,Deportes Tolima,0.2,0,2.43,0.71,0.29,0.9520000000000001
7,Marco_Perez,Bucaramanga,0.26,0,2.0,0.8,0.4,0.975
8,Carlos_Bacca,Millonarios,0.33,0,2.62,1.12,0.38,0.951
8,Dayro_Moreno,Deportes Tolima,0.45,0,2.0,0.91,0.36,0.948
8,Hugo_Rodallega,Fortaleza CEIF,0.35,0,2.0,1.0,0.33,0.91
8,Leonardo_Castro,Junior,0.46,0,2.56,1.22,0.89,0.9520000000000001
8,Marco_Perez,Millonarios,0.13,0,1.0,0.43,0.29,0.975
9,Carlos_Bacca,Llaneros,0.12,0,1.0,0.0,0.0,0.951
9,Dayro_Moreno,Independiente Santa Fe,0.58,1,3.67,1.44,0.44,0.948
9,Hugo_Rodallega,Once Caldas,0.27,0,3.86,2.0,0.43,0.91
9,Leonardo_Castro,Águilas Doradas,0.53,1,2.0,1.0,0.8,0.9520000000000001
9,Marco_Perez,Llaneros,0.0,0,0.4,0.0,0.0,0.975
10,Carlos_Bacca,Unión Magdalena,0.38,0,2.25,0.88,0.25,0.951
10,Dayro_Moreno,Pereira,0.54,1,3.0,1.4,0.8,0.948
10,Hugo_Rodallega,Millonarios,0.38,0,3.22,1.22,0.44,0.91
10,Leonardo_Castro,Independiente Santa Fe,0.56,1,3.36,1.36,0.73,0.9520000000000001
10,Marco_Perez,Unión Magdalena,1.1,1,3.67,2.67,1.67,0.975
